LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (20.936728 20.936728 62.810183)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  1536 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.048 seconds
768 atoms in group gSolid
768 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 7 7 20
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 6.511 | 6.511 | 6.511 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
       640   282.53929     -5949.5896     -5893.5298      573.96143      35070.285      4.7286476    
       650   283.7081      -5949.1512     -5892.8595      447.75099      35130.815      4.7968167    
       660   284.97079     -5948.7341     -5892.1918      378.78802      35186.232      4.8599276    
       670   286.4823      -5948.3712     -5891.529       357.05903      35236.89       4.9183165    
       680   288.46903     -5948.1083     -5890.8719      371.9239       35283.358      4.9724393    
       690   291.07982     -5947.9812     -5890.2268      406.71122      35326.327      5.0227212    
       700   294.2692      -5947.9805     -5889.5932      425.06131      35366.494      5.06949      
       710   297.47609     -5948.0054     -5888.9819      456.55538      35404.407      5.1130039    
       720   300.37145     -5947.9937     -5888.3957      469.65396      35440.57       5.1536285    
       730   302.97531     -5947.9585     -5887.8439      473.92134      35475.338      5.1917413    
       740   305.43985     -5947.9332     -5887.3296      474.04169      35508.969      5.227642     
       750   307.46868     -5947.8651     -5886.8589      460.01455      35541.662      5.261535     
       760   308.9754      -5947.7358     -5886.4307      452.54673      35573.494      5.2934765    
       770   309.92515     -5947.5447     -5886.0511      450.24672      35604.57       5.3235546    
       780   310.5932      -5947.3462     -5885.7201      487.70098      35635.069      5.3519701    
       790   311.45074     -5947.2356     -5885.4393      484.42692      35665.271      5.3790913    
       800   311.99162     -5947.1118     -5885.2082      447.65728      35695.251      5.4052414    
       810   311.85849     -5946.9034     -5885.0263      395.42854      35724.892      5.4305973    
