Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
input loaded from LiMg-example-0.8-5000relax-test-3.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
      Step     Time          Energy          fmax
FIRE:    0 17:46:11     -298.294030        0.686008
input loaded from LiMg-example-0.8-5000relax-test.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
      Step     Time          Energy          fmax
FIRE:    6 17:46:13     -298.590385        0.685558
FIRE:    6 17:46:13     -298.590385        0.685558
FIRE:   43 17:46:13     -306.918421        0.669517
FIRE:   43 17:46:13     -306.918421        0.669517
FIRE:    6 17:46:13     -298.590385        0.685558
FIRE:    7 17:46:13     -298.689112        0.685406
FIRE:    7 17:46:13     -298.689112        0.685406
FIRE:   44 17:46:13     -307.150254        0.668969
FIRE:   44 17:46:13     -307.150254        0.668969
FIRE:    7 17:46:13     -298.689112        0.685406
FIRE:    8 17:46:13     -298.814735        0.685211
FIRE:    8 17:46:13     -298.814735        0.685211
FIRE:   45 17:46:13     -307.381896        0.668415
FIRE:   45 17:46:13     -307.381896        0.668415
FIRE:    8 17:46:13     -298.814735        0.685211
FIRE:    9 17:46:13     -298.973494        0.684964
FIRE:    9 17:46:13     -298.973494        0.684964
FIRE:   46 17:46:13     -307.613345        0.667856
FIRE:   46 17:46:13     -307.613345        0.667856
FIRE:    9 17:46:13     -298.973494        0.684964
FIRE:   10 17:46:13     -299.172988        0.684649
FIRE:   10 17:46:13     -299.172988        0.684649
FIRE:   47 17:46:13     -307.844600        0.667291
FIRE:   47 17:46:13     -307.844600        0.667291
FIRE:   10 17:46:13     -299.172988        0.684649
FIRE:   11 17:46:13     -299.410092        0.684271
FIRE:   11 17:46:13     -299.410092        0.684271
FIRE:   48 17:46:13     -308.075657        0.666720
FIRE:   48 17:46:13     -308.075657        0.666720
FIRE:   11 17:46:13     -299.410092        0.684271
FIRE:   12 17:46:13     -299.647064        0.683888
FIRE:   12 17:46:13     -299.647064        0.683888
FIRE:   49 17:46:13     -308.306516        0.666144
FIRE:   12 17:46:13     -299.647064        0.683888
FIRE:   49 17:46:13     -308.306516        0.666144
FIRE:   13 17:46:13     -299.883903        0.683501
FIRE:   13 17:46:13     -299.883903        0.683501
FIRE:   50 17:46:13     -308.537175        0.665562
FIRE:   13 17:46:13     -299.883903        0.683501
FIRE:   50 17:46:13     -308.537175        0.665562
FIRE:   14 17:46:13     -300.120607        0.683108
FIRE:   14 17:46:13     -300.120607        0.683108
FIRE:   51 17:46:13     -308.767631        0.664975
FIRE:   14 17:46:13     -300.120607        0.683108
FIRE:   51 17:46:13     -308.767631        0.664975
FIRE:   15 17:46:13     -300.357174        0.682710
FIRE:   15 17:46:13     -300.357174        0.682710
