LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (83.2 20.8 41.6)
  4 by 1 by 2 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.048 seconds
2304 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.22
  ghost atom cutoff = 6.22
  binsize = 3.11, bins = 27 7 14
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair quip, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.498 | 6.498 | 6.498 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
         0   300           -44876.369     -44717.573      8697.5405      71991.296      0            
        10   181.72127     -44813.803     -44717.614      9269.4933      72031.634      0.0017457075 
        20   55.168529     -44747.03      -44717.828      7729.2787      72155.708      0.0047686106 
        30   109.53753     -44775.683     -44717.703      60.705584      72345.179      0.0069722975 
        40   165.02631     -44803.514     -44716.162     -7148.9539      72533.568      0.0092568195 
        50   130.94424     -44783.65      -44714.339     -9419.1363      72656.626      0.011403044  
        60   138.66502     -44786.338     -44712.94      -10202.078      72690.819      0.011564947  
        70   195.88412     -44815.387     -44711.702     -9894.6775      72630.685      0.0095461905 
        80   181.16847     -44806.458     -44710.562     -4919.7519      72485.312      0.0071757709 
        90   126.72723     -44776.272     -44709.193      2076.8603      72301.806      0.0057041537 
       100   142.05591     -44782.558     -44707.365      6227.986       72142.447      0.0048382574 
       110   170.45997     -44795.394     -44705.166      8423.1021      72045.149      0.0044626751 
       120   145.53556     -44780.318     -44703.283      9812.381       72027.648      0.0045257467 
       130   150.38213     -44781.631     -44702.031      7957.2584      72096.335      0.0043886674 
       140   194.7081      -44803.585     -44700.522      3016.18        72230.612      0.0045708824 
       150   184.30931     -44796         -44698.441     -1304.8876      72385.778      0.0063062902 
       160   145.17491     -44773.204     -44696.36      -4223.2543      72521.814      0.0090059188 
       170   155.36287     -44776.54      -44694.304     -7140.5572      72611.574      0.010889364  
       180   180.42703     -44787.665     -44692.161     -8405.3802      72632.607      0.01114484   
