ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
432
ITEM: BOX BOUNDS pp pp pp
1 7.62716 7.66826 12.7918
2 10.0826 7.65839 12.7305
1 7.73641 10.2137 10.3585
1 10.2656 10.108 12.7043
2 12.5392 10.1275 12.6243
2 2.59998 14.9566 12.6197
2 2.75052 12.5199 10.3023
1 2.58703 12.5787 12.6872
1 0.2275 14.952 12.7389
2 7.53662 12.5937 10.2986
1 5.12759 15.046 12.6335
2 5.05637 12.7644 12.8833
1 10.0967 15.0952 12.8553
1 7.63681 12.602 12.6694
1 10.0891 12.6052 10.3106
2 10.0589 12.6651 12.8352
1 12.5233 15.0748 10.3538
1 15.0099 12.5707 10.3502
2 12.4613 15.0516 12.6423
2 15.0136 12.6098 12.707
1 12.6047 12.6368 12.7232
2 2.61684 2.57725 15.1605
1 2.60722 0.15022 15.3725
1 5.11236 2.63129 15.4567
2 5.14423 0.269683 15.479
1 7.5836 0.161845 15.2258
2 7.69914 2.75559 15.2834
1 10.1257 2.76612 15.3406
1 14.965 2.50152 15.2556
2 12.6884 2.66311 15.2626
1 12.5186 0.225465 15.3884
2 15.0911 0.152339 15.1995
1 2.56799 5.10583 15.0785
2 0.209063 5.26372 15.2128
1 0.263391 7.62579 15.1603
2 5.07987 5.22642 15.4159
1 7.63262 5.12679 15.3336
2 10.0712 5.14107 15.2373
1 12.6312 5.1094 15.2334
2 12.6896 7.57474 15.2489
2 2.63239 7.65236 15.2139
1 2.5152 10.096 15.1888
2 0.249435 10.1176 15.0587
1 4.97628 7.71637 15.2258
2 5.13384 10.0915 15.4045
1 10.0294 7.76898 15.1766
2 7.6296 7.77025 15.3359
1 7.67242 10.1573 15.2949
2 10.0704 10.2686 15.1068
1 12.727 10.0694 15.2418
2 2.65199 12.5066 15.3107
1 0.21081 12.6735 15.1128
1 5.19204 12.6849 15.2651
2 7.58617 12.5817 15.3109
2 10.0418 15.0056 15.3034
1 10.2385 12.5449 15.2055
2 12.7152 12.6442 15.2747
2 2.7013 0.337219 17.6903
1 2.6532 2.62052 17.8167
2 0.180947 2.62417 17.7693
1 0.325577 2.71465 20.085
2 5.06003 2.76642 17.8323
1 5.14581 0.295181 17.8666
2 7.61536 0.298121 17.8379
1 5.33329 2.76729 20.2213
1 7.78477 2.57416 17.8594
2 10.2675 2.63456 17.6573
1 10.0758 2.5537 20.2106
1 12.631 2.70563 17.7501
