LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (82.64 19.68 39.36)
  4 by 1 by 2 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.001 seconds
  read_data CPU = 0.093 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.22
  ghost atom cutoff = 6.22
  binsize = 3.11, bins = 27 7 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair quip, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.499 | 6.499 | 6.499 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
       670   271.28263     -42590.274     -42446.678     -781.67853      75617.298      1.0934449    
       680   273.08541     -42591.284     -42446.734     -323.99004      75630.235      1.1082093    
       690   276.92874     -42593.144     -42446.56       103.4404       75637.929      1.1249234    
       700   280.55188     -42594.575     -42446.073      431.78407      75645.18       1.1439364    
       710   282.18437     -42594.649     -42445.283      740.11629      75655.119      1.1646721    
       720   279.46499     -42592.242     -42444.315      1206.5015      75670.184      1.1862058    
       730   272.19559     -42587.396     -42443.317      1863.6785      75693.708      1.2086262    
       740   263.71885     -42581.939     -42442.347      2582.538       75730.062      1.233437     
       750   261.2363      -42579.658     -42441.38       3016.2258      75783.17       1.2625586    
       760   264.93643     -42580.597     -42440.36       2737.7025      75853.413      1.2967852    
       770   265.70522     -42579.883     -42439.24       1884.917       75935.02       1.3349589    
       780   262.27278     -42576.794     -42437.968      622.85818      76017.953      1.3741353    
       790   260.9276      -42574.593     -42436.479     -891.79212      76090.353      1.4097274    
       800   267.28781     -42576.307     -42434.826     -2243.5839      76140.574      1.4362367    
       810   274.75984     -42578.657     -42433.221     -2831.6957      76160.973      1.4492279    
       820   272.26208     -42575.971     -42431.857     -2590.8791      76151.93       1.447561     
       830   264.08294     -42570.482     -42430.698     -1976.511       76120.844      1.4335865    
       840   263.24916     -42568.895     -42429.552     -1322.4983      76077.188      1.4115645    
       850   270.31559     -42571.351     -42428.267     -586.06869      76029.331      1.3864333    
       860   274.69321     -42572.214     -42426.813      276.07617      75984.909      1.3634237    
       870   276.94618     -42571.835     -42425.241      986.3126       75951.043      1.3470957    
       880   280.70567     -42572.245     -42423.661      1335.0911      75932.175      1.340365     
       890   279.08706     -42569.939     -42422.213      1345.1893      75928.798      1.3440741    
       900   268.40751     -42563.008     -42420.934      1077.6029      75938.253      1.3569144    
       910   262.86028     -42558.83      -42419.693      511.67609      75955.818      1.3757789    
       920   272.80831     -42562.704     -42418.301     -326.95307      75974.807      1.3962178    
       930   283.92418     -42567.017     -42416.73      -903.65126      75987.652      1.4131837    
       940   285.49524     -42566.262     -42415.144     -1206.9309      75990.048      1.4224044    
       950   290.70693     -42567.595     -42413.718     -1633.0241      75980.612      1.4210779    
       960   298.80604     -42570.74      -42412.575     -2075.3716      75957.327      1.4086657    
       970   294.25425     -42567.445     -42411.69      -1886.07        75918.925      1.3874335    
       980   283.72326     -42561.022     -42410.842     -1137.4642      75869.69       1.3619224    
       990   279.823       -42557.934     -42409.818     -467.21324      75817.94       1.3368505    
      1000   281.61725     -42557.636     -42408.571     -144.09405      75770.173      1.3151631    
      1010   290.91597     -42561.176     -42407.189     -25.929269      75728.823      1.2978066    
      1020   307.34271     -42568.508     -42405.825      186.47724      75694.138      1.2845064    
      1030   316.87269     -42572.359     -42404.632      634.9694       75667.11       1.2744235    
      1040   317.16985     -42571.576     -42403.692      1093.8983      75650.39       1.2668271    
      1050   322.41169     -42573.66      -42403.001      1286.124       75646.318      1.2615077    
      1060   333.71756     -42579.233     -42402.589      935.88533      75654.396      1.2583745    
      1070   337.1882      -42581.041     -42402.56       291.48503      75669.635      1.2568412    
      1080   327.06185     -42576.062     -42402.942     -189.74743      75685.35       1.2561856    
      1090   316.28632     -42571.025     -42403.608     -609.61869      75696.932      1.2557412    
      1100   318.35913     -42572.975     -42404.461     -1303.7246      75700.778      1.2540887    
      1110   324.65672     -42577.388     -42405.54      -2016.8233      75691.716      1.2487701    
      1120   321.04803     -42576.816     -42406.879     -2100.6606      75665.571      1.2375769    
      1130   313.70357     -42574.407     -42408.358     -1706.1035      75623.954      1.220324     
      1140   315.35269     -42576.804     -42409.881     -1269.3325      75572.462      1.1986203    
      1150   317.05558     -42579.254     -42411.43      -676.6676       75516.738      1.1749681    
      1160   312.54581     -42578.351     -42412.914      202.88197      75463.141      1.1523134    
      1170   312.43174     -42579.643     -42414.266      1006.5771      75419.339      1.1336169    
      1180   321.05411     -42585.538     -42415.597      1289.8147      75390.914      1.1210128    
      1190   325.98928     -42589.608     -42417.055      1174.1964      75378.318      1.1149088    
      1200   320.57193     -42588.313     -42418.627      816.97955      75378.285      1.1141602    
      1210   313.58871     -42586.183     -42420.194      111.6158       75385.537      1.1169004    
      1220   312.8528      -42587.292     -42421.693     -943.1287       75392.403      1.1207881    
      1230   317.68023     -42591.315     -42423.16      -2173.1107      75389.243      1.1227683    
      1240   323.98559     -42596.207     -42424.714     -3404.8492      75366.043      1.1191713    
      1250   329.87616     -42601.158     -42426.548     -4357.2604      75314.311      1.1064283    
      1260   332.53352     -42604.86      -42428.843     -4716.982       75229.392      1.0822891    
      1270   325.94998     -42604.086     -42431.554     -4098.2969      75113.214      1.0472534    
      1280   313.29661     -42600.141     -42434.306     -2644.7042      74976.708      1.0052143    
