LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (84.12 20.4 40.8)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.049 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 27 7 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 7.857 | 7.857 | 7.857 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
       680   306.46341     -15879.011     -15716.793      320.56642      86819.771      2.4699458    
       690   304.48357     -15879.477     -15718.307      284.6563       86874.215      2.4857527    
       700   303.04203     -15880.17      -15719.764      231.43388      86924.919      2.500255     
       710   302.37598     -15881.21      -15721.156      160.00407      86971.805      2.5135567    
       720   302.08823     -15882.399     -15722.498      96.120537      87014.548      2.5257843    
       730   301.58137     -15883.414     -15723.781      75.624493      87052.979      2.53712      
       740   300.63703     -15884.156     -15725.023      83.153756      87087.413      2.547757     
       750   299.44438     -15884.716     -15726.214      103.52396      87118.455      2.5578764    
       760   298.42372     -15885.309     -15727.347      119.09134      87146.808      2.567619     
       770   297.81894     -15886.066     -15728.425      133.54106      87173.051      2.5770877    
       780   297.65444     -15887.001     -15729.446      147.56498      87197.635      2.5863632    
       790   297.71158     -15887.997     -15730.412      159.27405      87220.944      2.5955256    
       800   297.69164     -15888.91      -15731.336      175.73139      87243.314      2.6046377    
       810   297.54823     -15889.707     -15732.209      201.95313      87265.102      2.6137511    
       820   297.44769     -15890.484     -15733.039      214.42563      87286.682      2.6228783    
       830   297.49806     -15891.294     -15733.822      218.59336      87308.223      2.6319558    
       840   297.71478     -15892.159     -15734.573      210.85981      87329.791      2.6409209    
