LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 2 Aug 2023, LAMMPS = 2 Aug 2023
  restoring atom style full from restart
  orthogonal box = (-1.043091 -0.71039117 -9.0393714) to (23.779066 23.446366 77.247295)
  1 by 1 by 1 MPI processor grid
  pair style chgnet/gpu stores no restart info
  1536 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.001 seconds
  read_restart CPU = 0.077 seconds
Resetting peratom fix info from restart file:
  fix style: STORE/ATOM, fix ID: msd_COMPUTE_STORE
All restart file peratom fix info was re-assigned
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 8 8 28
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 20000
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.547 | 6.547 | 6.547 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
     20000   1497.4781     -5523.0941     -5225.973       3591.303       51739.452      56.877471    
     20010   1507.3622     -5525.0537     -5225.9715      3626.0299      51738.892      57.035414    
     20020   1515.3162     -5526.6552     -5225.9947      3460.3096      51737.549      57.189233    
     20030   1520.6985     -5527.8182     -5226.0899      3265.785       51735.531      57.322893    
     20040   1507.192      -5525.2961     -5226.2477      3290.7359      51732.687      57.418709    
     20050   1511.04       -5526.2761     -5226.4641      3197.878       51729.166      57.496705    
     20060   1512.6548     -5526.876      -5226.7436      3079.8407      51725.094      57.570133    
     20070   1488.6678     -5522.4463     -5227.0733      3141.406       51720.492      57.636306    
     20080   1482.5642     -5521.5667     -5227.4047      3070.1717      51715.397      57.695649    
     20090   1488.165      -5523.0029     -5227.7297      3072.8813      51709.815      57.751354    
     20100   1493.3691     -5524.3649     -5228.059       3220.4103      51704.002      57.798097    
     20110   1486.2826     -5523.3241     -5228.4244      3469.9268      51698.027      57.857269    
     20120   1465.4125     -5519.517      -5228.7581      3685.2942      51691.904      57.964164    
     20130   1469.5957     -5520.6537     -5229.0648      3462.9608      51685.559      58.093127    
     20140   1472.1128     -5521.4246     -5229.3363      3265.0737      51678.674      58.227818    
     20150   1480.541      -5523.3468     -5229.5863      3084.3734      51670.999      58.379291    
     20160   1477.1904     -5522.896      -5229.8003      3003.3709      51662.314      58.545474    
     20170   1492.1907     -5526.1139     -5230.0419      2863.1691      51652.183      58.706758    
     20180   1480.3063     -5524.0045     -5230.2905      3215.4985      51640.511      58.841843    
     20190   1481.9269     -5524.6124     -5230.5769      3537.2401      51627.654      58.941786    
     20200   1509.2587     -5530.3202     -5230.8616      3447.4256      51614.066      59.011174    
     20210   1504.7593     -5529.8199     -5231.2541      3559.4829      51599.896      59.08091     
     20220   1509.4657     -5531.2764     -5231.7768      3440.2297      51585.193      59.165263    
     20230   1515.3879     -5533.1309     -5232.4562      3226.3245      51569.67       59.253923    
     20240   1512.3309     -5533.4055     -5233.3374      3100.1536      51552.942      59.333311    
     20250   1498.2317     -5531.6499     -5234.3793      3290.5852      51535.125      59.393425    
     20260   1467.5077     -5526.6595     -5235.485       3851.5257      51516.819      59.420893    
     20270   1476.9067     -5529.6442     -5236.6047      4070.3922      51498.846      59.423988    
     20280   1471.1998     -5529.5918     -5237.6847      4488.4134      51481.67       59.427303    
     20290   1475.6808     -5531.5631     -5238.7669      4690.2126      51465.571      59.426916    
     20300   1453.5402     -5528.187      -5239.7838      4805.8849      51450.582      59.412081    
     20310   1453.7846     -5529.1626     -5240.7109      4406.2707      51436.269      59.395613    
     20320   1441.8548     -5527.585      -5241.5003      4071.4044      51421.976      59.389853    
     20330   1466.7847     -5533.2056     -5242.1745      3817.1624      51407.465      59.38734     
     20340   1477.942      -5536.021      -5242.7761      3799.6716      51392.946      59.380517    
     20350   1488.5483     -5538.717      -5243.3677      3639.4332      51378.829      59.377911    
     20360   1492.752      -5540.1412     -5243.9579      3491.8902      51365.378      59.39536     
     20370   1474.7611     -5537.1885     -5244.5747      3605.642       51352.764      59.424894    
     20380   1487.9951     -5540.4529     -5245.2133      3383.0444      51341.299      59.455638    
     20390   1487.3921     -5540.9539     -5245.834       3192.1569      51331.174      59.477192    
     20400   1480.3333     -5540.2163     -5246.497       3244.272       51322.202      59.487109    
     20410   1458.6784     -5536.585      -5247.1623      3729.1468      51313.8        59.494962    
     20420   1464.984      -5538.4336     -5247.7598      3882.5183      51305.846      59.51379     
     20430   1469.3206     -5539.8505     -5248.3162      3687.3101      51298.521      59.553945    
     20440   1471.2041     -5540.7605     -5248.8525      3272.087       51291.79       59.625434    
     20450   1470.6719     -5541.1919     -5249.3895      2966.8924      51285.275      59.730856    
     20460   1470.2928     -5541.6306     -5249.9035      2841.8511      51278.471      59.84928     
     20470   1488.5006     -5545.7944     -5250.4546      2622.1801      51271.015      59.967739    
     20480   1446.6204     -5538.041      -5251.0108      3163.6119      51262.696      60.076261    
     20490   1412.2415     -5531.6785     -5251.4695      3462.6507      51253.869      60.169153    
     20500   1429.1734     -5535.3501     -5251.7816      3221.9535      51244.6        60.25579     
     20510   1401.1997     -5529.9276     -5251.9095      3394.2913      51234.143      60.356574    
     20520   1385.0134     -5526.6226     -5251.8161      3620.3605      51222.312      60.473781    
     20530   1387.7985     -5526.7291     -5251.37        3548.8956      51209.352      60.586619    
     20540   1412.244      -5530.7673     -5250.5579      3441.2703      51195.625      60.683758    
     20550   1442.3749     -5535.5698     -5249.382       3539.0412      51181.515      60.773264    
     20560   1431.3633     -5531.8564     -5247.8535      3949.4218      51167.455      60.854344    
     20570   1453.1959     -5534.376      -5246.0411      3786.7922      51153.693      60.917619    
     20580   1472.1126     -5536.1396     -5244.0514      3451.5463      51139.822      60.957023    
     20590   1461.2512     -5531.9612     -5242.028       3559.8867      51125.514      60.982888    
     20600   1488.9455     -5535.5684     -5240.1403      3363.2096      51110.804      61.008116    
     20610   1475.5778     -5531.2533     -5238.4775      3624.7858      51095.925      61.033607    
     20620   1462.979      -5527.3887     -5237.1127      4112.1913      51081.277      61.043318    
     20630   1495.0505     -5532.6174     -5235.978       4324.0798      51067.04       61.051927    
     20640   1505.443      -5533.7992     -5235.0977      4600.5376      51053.034      61.08139     
     20650   1544.769      -5541.0146     -5234.5103      4416.5373      51039.333      61.106501    
     20660   1539.6676     -5539.7483     -5234.2562      4337.0336      51025.781      61.128861    
     20670   1504.9186     -5532.8551     -5234.2577      4260.4646      51012.062      61.173468    
     20680   1492.253      -5530.4908     -5234.4065      4005.7544      50998.038      61.234066    
     20690   1462.3133     -5524.7384     -5234.5945      4271.5504      50983.837      61.282528    
     20700   1451.445      -5522.7239     -5234.7364      4390.8196      50969.9        61.317163    
     20710   1464.6499     -5525.4521     -5234.8446      4515.8356      50956.474      61.351523    
     20720   1476.0942     -5527.7878     -5234.9096      4853.314       50943.737      61.413167    
     20730   1505.3229     -5533.7025     -5235.0249      4990.8694      50932.041      61.510549    
     20740   1490.3626     -5530.9351     -5235.2258      4962.5435      50921.393      61.617504    
     20750   1473.7942     -5527.9453     -5235.5234      5110.8777      50911.634      61.707749    
     20760   1488.8908     -5531.291      -5235.8738      4940.2428      50902.776      61.775198    
     20770   1488.2023     -5531.5675     -5236.2868      4685.9514      50894.826      61.830723    
     20780   1469.5927     -5528.3595     -5236.7713      4457.6664      50887.522      61.8906      
     20790   1461.6913     -5527.3103     -5237.2898      4477.319       50880.357      61.952235    
     20800   1474.3181     -5530.3466     -5237.8207      4488.6532      50872.98       62.025765    
     20810   1481.2221     -5532.2798     -5238.3841      4607.1818      50865.204      62.106915    
     20820   1488.8161     -5534.4448     -5239.0424      4839.4234      50857.162      62.17036     
     20830   1499.1076     -5537.2709     -5239.8265      4940.6974      50849.421      62.225547    
     20840   1471.9696     -5532.7906     -5240.7308      5352.9532      50842.557      62.288186    
     20850   1442.2748     -5527.8527     -5241.6847      5764.1269      50837.053      62.354956    
     20860   1434.9801     -5527.3        -5242.5794      5927.0102      50833.388      62.430389    
     20870   1447.7672     -5530.6637     -5243.406       5536.772       50831.811      62.545213    
     20880   1478.9304     -5537.6678     -5244.2269      4844.0208      50832.289      62.704148    
     20890   1459.2311     -5534.6349     -5245.1025      4532.6351      50834.768      62.870386    
     20900   1420.7023     -5527.8256     -5245.9379      4544.6698      50839.336      63.032709    
     20910   1425.0543     -5529.4321     -5246.681       4197.6033      50845.786      63.210497    
     20920   1462.7576     -5537.5686     -5247.3365      3623.5783      50853.252      63.402515    
     20930   1461.6545     -5538.0073     -5247.9941      3437.7018      50860.873      63.593969    
     20940   1437.9765     -5533.9816     -5248.6664      3748.4736      50868.459      63.755724    
     20950   1410.3307     -5529.0959     -5249.2661      4177.5062      50876.475      63.881435    
