LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (93.342894 23.335724 46.671447)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.042 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 30 8 15
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 7.102 | 7.102 | 7.102 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
       680   300.83892     -15316.749     -15157.509     -456.19357      129361.64      7.7662804    
       690   302.12142     -15318.851     -15158.932     -469.75199      129282.43      7.7136875    
       700   302.50376     -15320.437     -15160.315     -463.71932      129199.69      7.6589012    
       710   301.44123     -15321.197     -15161.638     -401.34451      129114.17      7.6025191    
       720   299.38928     -15321.395     -15162.922     -319.41562      129027.76      7.5457306    
       730   297.13616     -15321.404     -15164.124     -228.10863      128942.87      7.4901341    
       740   295.95962     -15321.884     -15165.226     -159.1507       128861.77      7.4373408    
       750   296.29421     -15323.079     -15166.245     -119.56722      128785.87      7.3885275    
       760   297.15274     -15324.496     -15167.207     -98.436047      128715.6       7.3442439    
       770   298.10172     -15325.896     -15168.104     -74.248606      128650.87      7.3046533    
       780   298.39871     -15326.917     -15168.969     -61.871122      128591.61      7.2695527    
       790   298.08114     -15327.569     -15169.789     -64.964411      128537.48      7.2381926    
       800   297.56287     -15328.08      -15170.574     -82.45446       128487.74      7.2093492    
       810   297.18465     -15328.633     -15171.327     -113.15424      128441.38      7.1818831    
       820   297.0434      -15329.273     -15172.042     -145.90944      128397.17      7.154876     
       830   296.46459     -15329.645     -15172.72      -161.67146      128354.01      7.1275014    
       840   295.46112     -15329.75      -15173.356     -154.25194      128311.29      7.0992231    
       850   295.6621      -15330.443     -15173.943     -150.90328      128269.07      7.0700456    
       860   297.23862     -15331.811     -15174.476     -162.83368      128227.35      7.0403664    
       870   298.63374     -15333.054     -15174.981     -202.01607      128185.63      7.0107466    
       880   299.37768     -15333.943     -15175.477     -220.1392       128142.98      6.9817113    
       890   299.69873     -15334.584     -15175.947     -224.65622      128098.97      6.9538954    
       900   299.69717     -15335.061     -15176.425     -214.36134      128053.59      6.9277893    
       910   299.26456     -15335.285     -15176.878     -186.02457      128007.27      6.9037953    
       920   298.40952     -15335.277     -15177.323     -136.30157      127960.92      6.8822181    
       930   297.85995     -15335.396     -15177.733     -61.953216      127915.89      6.8633319    
       940   298.61357     -15336.201     -15178.139     -6.016954       127873.91      6.8475347    
       950   300.50699     -15337.572     -15178.508      26.525105      127836.14      6.8349918    
       960   301.54127     -15338.509     -15178.897      57.924343      127803.07      6.8256003    
       970   300.19948     -15338.193     -15179.292      102.91113      127775.07      6.8192341    
       980   296.93678     -15336.862     -15179.688      154.24554      127752.8       6.8158543    
       990   294.06245     -15335.692     -15180.039      177.97919      127736.98      6.8154313    
      1000   293.43728     -15335.664     -15180.342      150.96141      127727.5       6.8176387    
      1010   294.47116     -15336.438     -15180.568      99.547694      127723.1       6.821758     
      1020   295.78845     -15337.308     -15180.741      29.610376      127721.81      6.826928     
      1030   297.17541     -15338.176     -15180.875     -32.21445       127721.48      6.8323228    
      1040   298.51535     -15338.983     -15180.973     -92.685569      127720.26      6.8372158    
      1050   299.48707     -15339.592     -15181.067     -129.90992      127716.6       6.8410355    
      1060   300.45511     -15340.18      -15181.143     -129.04517      127709.83      6.843654     
      1070   302.40064     -15341.3       -15181.233     -142.31966      127700.1       6.8454909    
      1080   304.72643     -15342.648     -15181.351     -150.84127      127687.38      6.8468783    
      1090   305.56582     -15343.257     -15181.515     -143.44266      127671.69      6.8479125    
      1100   304.2233      -15342.776     -15181.745     -109.09405      127653.57      6.8486346    
      1110   302.95305     -15342.361     -15182.002     -71.557398      127634.13      6.8491681    
